
Xi             Wi             y_exacta       
1              17             17             
1.1            15.7545        15.7555        
1.2            14.7717        14.7733        
1.3            13.9957        13.9977        
1.4            13.3863        13.3886        
1.5            12.9143        12.9167        
1.6            12.5575        12.56          
1.7            12.2993        12.3018        
1.8            12.1265        12.1289        
1.9            12.0288        12.0311        
2              11.9979        12             
2.1            12.0271        12.029         
2.2            12.111         12.1127        
2.3            12.245         12.2465        
2.4            12.4254        12.4267        
2.5            12.6489        12.65          
2.6            12.913         12.9138        
2.7            13.2153        13.2159        
2.8            13.5539        13.5543        
2.9            13.927         13.9272        
3              14.3333        14.3333        
